id_bod|id_schuze|id_tisk|id_typ|bod|uplny_naz|uplny_kon|poznamka|id_bod_stav|pozvanka|rj|pozn2|druh_bodu|id_sd|zkratka
7235|52|532|1|16|Návrh poslancù Miroslava Sládka a dalších na vydání ústavního zákona, kterım se mìní a doplòuje ústavní zákon Èeské národní rady è. 1/1993 Sb., Ústava Èeské republiky|/snìmovní tisk 3/||1|||||||
7236|52|558|1|20|Návrh poslancù Petry Buzkové a dalších na vydání zákona o veøejném ochránci práv|/snìmovní tisk 25/||1|1||||||
7236|52|558|1|21|Návrh poslancù Petry Buzkové a dalších na vydání zákona o veøejném ochránci práv|/snìmovní tisk 25/||1|||||||
7237|52|605||11|Návrh rozpoètového vıboru na usnesení Poslanecké snìmovny k pøijetí pravidel pro projednání návrhu zákona o státním rozpoètu Èeské republiky na rok 1997 v Poslanecké snìmovnì a jejích orgánech|/snìmovní tisk 60/1/||1|1||||||
7237|52|605||12|Návrh rozpoètového vıboru na usnesení Poslanecké snìmovny k pøijetí pravidel pro projednání návrhu zákona o státním rozpoètu Èeské republiky na rok 1997 v Poslanecké snìmovnì a jejích orgánech|/snìmovní tisk 60/1/||1|||||||
7238|52|610|1|14|Návrh rozpoètu Poslanecké snìmovny na r. 1997|/snìmovní tisk 64/||1|1||||||
7238|52|610|1|15|Návrh rozpoètu Poslanecké snìmovny na r. 1997|/snìmovní tisk 64/||1|||||||
7239|52|579|1|66|Návrh rozpoètu Pozemkového fondu Èeské republiky na rok 1996|/snìmovní tisk 45/||1|1||||||
7239|52|579|1|72|Návrh rozpoètu Pozemkového fondu Èeské republiky na rok 1996|/snìmovní tisk 45/||1|||||||
7240|52|||61|Návrh usnesení Poslanecké snìmovny k hospodaøení s majetkem státu|Není sn.tisk||1|1||||||
7240|52|||63|Návrh usnesení Poslanecké snìmovny k hospodaøení s majetkem státu|Není sn.tisk||1|||||||
7241|52|||10|Návrh usnesení Poslanecké snìmovny k návrhu na postup pøi rozhodování o ztrátì nároku poslance na plat a paušální náhrady za neomluvenou neúèast na jednacích dnech Poslanecké snìmovny a jejích orgánù|Není sn.tisk||1|||||||
7241|52|||10|Návrh usnesení Poslanecké snìmovny k návrhu na postup pøi rozhodování o ztrátì nároku poslance na plat a paušální náhrady za neomluvenou neúèast na jednacích dnech Poslanecké snìmovny a jejích orgánù|Není sn.tisk||1|1||||||
7242|52|||63|Návrh usnesení Poslanecké snìmovny k pozastavení privatizace nemocnic|Není sn.tisk||1|1||||||
7242|52|||67|Návrh usnesení Poslanecké snìmovny k pozastavení privatizace nemocnic|Není sn.tisk||1|||||||
7243|52|||62|Návrh usnesení Poslanecké snìmovny, kterım ádá vládu Èeské republiky, aby pøedloila Poslanecké snìmovnì koncepci zdravotnictví|Není sn.tisk||1|1||||||
7243|52|||66|Návrh usnesení Poslanecké snìmovny, kterım ádá vládu Èeské republiky, aby pøedloila Poslanecké snìmovnì koncepci zdravotnictví|Není sn.tisk||1|||||||
7244|52|||60|Návrh volební komise na volbu poslance se statutem èlena do stálé delegace Poslanecké snìmovny do Parlamentního shromádìní Rady Evropy|Není sn.tisk||1|1||||||
7244|52|||76|Návrh volební komise na volbu poslance se statutem èlena do stálé delegace Poslanecké snìmovny do Parlamentního shromádìní Rady Evropy|Není sn.tisk||1|||||||
7245|52|||50|Návrh volební komise na volbu pøedsedy Vyšetøovací komise Poslanecké snìmovny pro zjištìní podmínek privatizace a ekonomického fungování POLDI Kladno|Není sn.tisk||1|||||||
7245|52|||58|Návrh volební komise na volbu pøedsedy Vyšetøovací komise Poslanecké snìmovny pro zjištìní podmínek privatizace a ekonomického fungování POLDI Kladno|Není sn.tisk||1|1||||||
7246|52|||52|Návrh volební komise na volbu pøedsedy Vyšetøovací komise Poslanecké snìmovny pro šetøení okolností krachu Kreditní banky a.s. Plzeò|Není sn.tisk||1|||||||
7246|52|||56|Návrh volební komise na volbu pøedsedy Vyšetøovací komise Poslanecké snìmovny pro šetøení okolností krachu Kreditní banky a.s. Plzeò|Není sn.tisk||1|1||||||
7247|52|||45|Návrh volební komise na volbu pøedsedy stálé komise Poslanecké snìmovny pro kontrolu pouití operativní techniky Policie Èeské republiky|Není sn.tisk||1|||||||
7247|52|||59|Návrh volební komise na volbu pøedsedy stálé komise Poslanecké snìmovny pro kontrolu pouití operativní techniky Policie Èeské republiky|Není sn.tisk||1|1||||||
7248|52|||44|Návrh volební komise na volbu èlenù Vyšetøovací komise Poslanecké snìmovny pro zjištìní podmínek privatizace a ekonomického fungování POLDI Kladno|Není sn.tisk||1|||||||
7248|52|||57|Návrh volební komise na volbu èlenù Vyšetøovací komise Poslanecké snìmovny pro zjištìní podmínek privatizace a ekonomického fungování POLDI Kladno|Není sn.tisk||1|1||||||
7249|52|||43|Návrh volební komise na volbu èlenù Vyšetøovací komise Poslanecké snìmovny pro šetøení okolností krachu Kreditní banky a.s. Plzeò|Není sn.tisk||1|||||||
